,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,political_lean,group_slug
13,Steve Schmidt fan club,99,3,210.0,55000.0,2.0,1215,8.148148148148149,R,2645436679003881
18,Dr. Fauci Fan Club,88,1,280.0,48000.0,2.0,1215,7.242798353909465,L,540034209975584
27,Lincoln Project Americans Protecting Democracy,76,3,2000.0,33000.0,2.0,1215,6.255144032921811,R,2363529640618134
41,Funny Trump Memes,65,0,1300.0,5900.0,3.0,1215,5.349794238683128,L,371172480674337
43,Last Week Tonight with John Oliver,63,1,100.0,49000.0,2.0,1215,5.185185185185185,L,1003058063051602
44,Joe BIDEN POTUS 46 Official,63,0,750.0,16000.0,1.0,1215,5.185185185185185,L,264505438307329
58,Steve Schmidt Humanitarian &Patriot vs. tRump Redux,55,0,950.0,2500.0,1.0,1215,4.526748971193416,R,734960363996390
59,Barack Obama Fan Club,53,7,12000.0,323000.0,2.0,1215,4.362139917695473,L,589470521442457
61,PRESIDENT JOE BIDEN 2021,51,0,100.0,6200.0,2.0,1215,4.197530864197531,L,2929509290482541
68,The Lincoln Project > Undo the Damage,47,0,2000.0,7600.0,1.0,1215,3.868312757201646,R,748796219028658
74,Alexandria Ocasio-Cortez Fan Club,45,0,310.0,46000.0,1.0,1215,3.7037037037037033,L,alexandriaocasiocortezfanclub
75,Joe Biden lovers,44,0,250.0,11000.0,1.0,1215,3.6213991769547325,L,347486906381131
79,BidenHarris2020,44,0,250.0,16000.0,0.0,1215,3.6213991769547325,L,437806580093639
81,The Liberal Skeptic's Dank Meme Stash,44,3,1600.0,13000.0,1.0,1215,3.6213991769547325,L,542145203106828
94,Project Lincoln,42,4,350.0,100000.0,0.0,1215,3.45679012345679,R,458226781793015
