,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,is_political,group_slug
58,ALDI Aisle of Shame Community,23,3,4200.0,412000.0,9.0,508,4.52755905511811,False,aldiaisleofshame
59,Cool Dog Group,23,1,380.0,770000.0,0.0,508,4.52755905511811,False,cooldogpictures
60,Ashley's free sample and direct ship!,23,1,60.0,21000.0,17.0,508,4.52755905511811,False,943995465932302
61,Freebies!,22,1,70.0,20000.0,14.0,508,4.330708661417323,False,1675489819405284
62,Disapproving Corgis,22,5,2500.0,1000000.0,6.0,508,4.330708661417323,False,555989291132852
63,Crafty Fun Group,22,12,35000.0,586000.0,9.0,508,4.330708661417323,False,craftyfungroup
64,Grand Larsony,22,3,6800.0,92000.0,21.0,508,4.330708661417323,False,1661863323971577
65,Slaton Sisters for All,22,0,80.0,49000.0,0.0,508,4.330708661417323,False,737703987068978
66,Walter E. Williams,22,0,40.0,18000.0,1.0,508,4.330708661417323,False,274325587900
67,Trump Daily Report,22,0,4300.0,111000.0,2.0,508,4.330708661417323,True,2098968433466112
68,Rate My Dog,21,0,10.0,90000.0,0.0,508,4.133858267716536,False,happypitbull
69,Friends of Sidney Powell,21,0,90.0,2200.0,0.0,508,4.133858267716536,False,123692786013865
70,"Art, Crafts & DIY",21,0,2300.0,1100000.0,0.0,508,4.133858267716536,False,448418102231723
71,"Primer & Rust, Rats & Rods",21,0,1500.0,220000.0,8.0,508,4.133858267716536,False,413512055514755
72,Dogs and puppies for rehoming near me,20,0,360.0,248000.0,0.0,508,3.937007874015748,False,523989585012486
73,Biker Online Yard Sale,20,0,420.0,150000.0,0.0,508,3.937007874015748,False,577418632317549
74,"Antique, Classic and Muscle Cars (For Sale Group)",20,0,650.0,168000.0,1.0,508,3.937007874015748,False,383734698489569
75,Crockpot/Slow Cooker Recipes & Tips,20,0,1700.0,916000.0,11.0,508,3.937007874015748,False,Slowcooker786
76,Grandma Funnies,20,5,21000.0,309000.0,7.0,508,3.937007874015748,False,grandmafunnies
77,The Smart Report,20,1,77.14285714285714,64000.0,0.0,508,3.937007874015748,False,1205735899553415
78,LEGIT FREEBIES & MORE!,19,1,230.0,22000.0,10.0,508,3.7401574803149615,False,RealLegitFreebies
79,Dash Cam Footage Community,19,1,5700.0,622000.0,5.0,508,3.7401574803149615,False,dashcam.footage.community
80,"Hot Rods, Classics, Muscle Cars, Kustoms, Gassers, Street Rods, 4Sale",19,1,1700.0,284000.0,1.0,508,3.7401574803149615,False,oldcarandtrucktrader
81,LAUGH WITH THE LADIES,19,5,17000.0,66000.0,12.0,508,3.7401574803149615,False,1493679364136055
82,Just For Jokes,19,12,51000.0,240000.0,12.0,508,3.7401574803149615,False,justforjokesgroup
83,Dr Pimple videos,19,0,280.0,70000.0,0.0,508,3.7401574803149615,False,821660281660050
84,Amazing World,19,0,1000.0,182000.0,3.0,508,3.7401574803149615,False,AmazingAnimalsAndBeautifulNature
85,Donald Trump Is Our President - The Group,19,0,1200.0,169000.0,3.0,508,3.7401574803149615,True,DTIOP
86,Golden Retriever the Paws,19,0,500.0,61000.0,1.0,508,3.7401574803149615,False,goldenretrieverthepaws
87,Star Trek Memes,18,4,10000.0,196000.0,17.0,508,3.543307086614173,False,337634486811277
