,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,is_political,group_slug
59,Barack Obama Fan Club,53,7,12000.0,323000.0,2.0,1215,4.362139917695473,True,589470521442457
60,Husband and Wife love zone,52,0,20.0,42000.0,1.0,1215,4.279835390946502,False,familyquotesandsayings
61,PRESIDENT JOE BIDEN 2021,51,0,100.0,6200.0,2.0,1215,4.197530864197532,True,2929509290482541
62,Turner Classic Movies For Fans!,50,2,1900.0,153000.0,13.0,1215,4.11522633744856,False,TCMforFans
63,Heartbroken Quotes,50,0,160.0,343000.0,2.0,1215,4.11522633744856,False,HeartbrokenHeartbreak
64,True Love Matters,49,0,6.0,8200.0,0.0,1215,4.032921810699588,False,2026492397668060
65,All About Relationships ❤️,48,0,160.0,237000.0,0.0,1215,3.9506172839506166,False,2201876856733796
66,"Art, Crafts & DIY",47,0,2300.0,1200000.0,2.0,1215,3.868312757201647,False,448418102231723
67,5-Minute Diy Arts & Crafts,47,0,680.0,1100000.0,1.0,1215,3.868312757201647,False,429942787554685
68,The Lincoln Project > Undo the Damage,47,0,2000.0,7600.0,1.0,1215,3.868312757201647,True,748796219028658
69,Grand Larsony,47,3,6800.0,92000.0,43.0,1215,3.868312757201647,False,1661863323971577
70,FreebieShark's Official Group,46,3,20.0,36000.0,11.0,1215,3.7860082304526745,False,355345221879011
71,"The Official Crow, Raven & Other Corvids Fan Page",46,7,1500.0,98000.0,25.0,1215,3.7860082304526745,False,334799910063783
72,The Hudson Valley in pictures,46,0,2800.0,97000.0,9.0,1215,3.7860082304526745,False,765048086878344
73,A Group Where We Pretend its 2009-2012,46,0,350.0,228000.0,6.0,1215,3.7860082304526745,False,660106451492374
74,Alexandria Ocasio-Cortez Fan Club,45,0,310.0,46000.0,1.0,1215,3.7037037037037033,True,alexandriaocasiocortezfanclub
75,Joe Biden lovers,44,0,250.0,11000.0,1.0,1215,3.6213991769547333,True,347486906381131
76,Only Thai Food Recipes,44,0,130.0,697000.0,3.0,1215,3.6213991769547333,False,579373962860300
77,💞🐶 Dachshund Love 🐶💞,44,0,330.0,154000.0,1.0,1215,3.6213991769547333,False,615798308836950
78,Dogs and puppies for rehoming near me,44,0,360.0,248000.0,0.0,1215,3.6213991769547333,False,523989585012486
79,BidenHarris2020,44,0,250.0,16000.0,0.0,1215,3.6213991769547333,True,437806580093639
80,Only The Hilarious,44,0,290.0,1000000.0,12.0,1215,3.6213991769547333,False,1576329699361266
81,The Liberal Skeptic's Dank Meme Stash,44,3,1600.0,13000.0,1.0,1215,3.6213991769547333,True,542145203106828
82,Throwback Jamz: Music That's Good For The Soul,44,0,410.0,171000.0,3.0,1215,3.6213991769547333,False,THROWBCKJAMZ
83,"Primer & Rust, Rats & Rods",43,0,1500.0,220000.0,3.0,1215,3.539094650205761,False,413512055514755
84,Cute couples/romantic quotes,43,0,3.0,40000.0,0.0,1215,3.539094650205761,False,696517170464297
85,Eastern Shore Boat and Marine Stuff,43,0,320.0,43000.0,6.0,1215,3.539094650205761,False,217548428349516
86,Good Old Days,43,23,41000.0,466000.0,14.0,1215,3.539094650205761,False,goodoldday
87,A Group Where We Only Speak Like Nathan W. Pyle Beings,43,1,110.0,53000.0,4.0,1215,3.539094650205761,False,2491889064208447
88,Dhar Mann Official FAN page- Asia/Middle East/Europe/Africa,43,1,2300.0,176000.0,4.0,1215,3.539094650205761,False,715765915844430
89,🔥 Seafood & Soul Food Recipe Foodies 😋 The Original!,43,0,8500.0,1000000.0,15.0,1215,3.539094650205761,False,1723785341058341
90,Sweet Relationship Quotes,42,0,20.0,99000.0,0.0,1215,3.45679012345679,False,1760181030963160
91,LAUGH WITH  AUNTY ACID- MAXINE,42,0,38000.0,342000.0,19.0,1215,3.45679012345679,False,372156643502092
92,Mature Conversations About Relationships,42,0,110.0,11000.0,1.0,1215,3.45679012345679,False,matureconversationsaboutrelationships
93,Old Images of New York Group,42,1,20.0,52000.0,4.0,1215,3.45679012345679,False,oldimagesofNY
94,Project Lincoln,42,4,350.0,100000.0,0.0,1215,3.45679012345679,True,458226781793015
95,Science Humor,42,18,29000.0,995000.0,28.0,1215,3.45679012345679,False,sciencehumor
96,Feisty Soul Tribe ~ The Group,42,8,40000.0,552000.0,12.0,1215,3.45679012345679,False,1162197647167305
97,Cars For Sale In Nj,42,0,5300.0,84000.0,8.0,1215,3.45679012345679,False,1413799648841377
98,LOVE STORY/POEMS,41,0,60.0,196000.0,1.0,1215,3.374485596707819,False,1612700025646277
99,Funny sarcastic grandma,41,6,28000.0,110000.0,20.0,1215,3.374485596707819,False,215813539335011
100,Accidental Renaissance Paintings,41,0,50.0,378000.0,9.0,1215,3.374485596707819,False,2139620953034138
